geom,Latitude,Longitude,Source,Year,Capacity,depth
POINT (2.79694955287034 51.671768879018),51.671769,2.79695,DOWT,,,-25.0
POINT (2.79533258535892 51.6799435481035),51.679944,2.795333,DOWT,,,-26.0
POINT (2.81392771174019 51.7001556419961),51.700156,2.813928,DOWT,,,-24.0
POINT (2.80710051558089 51.6887470378878),51.688747,2.807101,DOWT,,,-25.0
POINT (2.81060394518895 51.6944064241778),51.694406,2.810604,DOWT,,,-25.0
POINT (2.8087174830923 51.6804825372739),51.680483,2.808717,DOWT,,,-26.0
POINT (2.80557337959788 51.6970115385017),51.697012,2.805573,DOWT,,,-25.0
POINT (2.80530388501265 51.6749129825124),51.674913,2.805304,DOWT,,,-26.0
POINT (2.81213108117196 51.6862317550923),51.686232,2.812131,DOWT,,,-26.0
POINT (2.81024461907531 51.6721282051316),51.672128,2.810245,DOWT,,,-27.0
POINT (2.83396014257606 51.6822791678422),51.682279,2.83396,DOWT,,,-32.0
POINT (2.82210238082568 51.680931694916),51.680932,2.822102,DOWT,,,-29.0
POINT (2.82057524484268 51.6892860270583),51.689286,2.820575,DOWT,,,-25.0
POINT (2.82551597890534 51.6866809127344),51.686681,2.825516,DOWT,,,-27.0
POINT (2.83647542537159 51.6883877117742),51.688388,2.836475,DOWT,,,-30.0
POINT (2.81877861427444 51.675272308626),51.675272,2.818779,DOWT,,,-29.0
POINT (2.81707181523461 51.6836266407683),51.683627,2.817072,DOWT,,,-27.0
POINT (2.81563451078002 51.6918013098538),51.691801,2.815635,DOWT,,,-25.0
POINT (2.78176802456872 51.6572161714152),51.657216,2.781768,DOWT,,,-27.0
POINT (2.79497325924527 51.6354769415395),51.635477,2.794973,DOWT,,,-16.0
POINT (2.80171062387617 51.6467957141194),51.646796,2.801711,DOWT,,,-25.0
POINT (2.79838685732493 51.6412261593579),51.641226,2.798387,DOWT,,,-18.0
POINT (2.78024088858571 51.643651610625),51.643652,2.780241,DOWT,,,-25.0
POINT (2.78518162264837 51.663055220762),51.663055,2.785182,DOWT,,,-28.0
POINT (2.79335629173386 51.6438312736819),51.643831,2.793356,DOWT,,,-21.0
POINT (2.80521405348424 51.6525449319378),51.652545,2.805214,DOWT,,,-27.0
POINT (2.80359708597282 51.6608094325517),51.660809,2.803597,DOWT,,,-25.0
POINT (2.79182915575086 51.6520059427673),51.652006,2.791829,DOWT,,,-23.0
POINT (2.79012235671103 51.6602704433812),51.66027,2.790122,DOWT,,,-25.0
POINT (2.78509179111996 51.6407770017158),51.640777,2.785092,DOWT,,,-22.0
POINT (2.7899426936542 51.6380820558635),51.638082,2.789943,DOWT,,,-19.0
POINT (2.77844425801747 51.6515567851253),51.651557,2.778444,DOWT,,,-27.0
POINT (2.79676988981351 51.6494008284434),51.649401,2.79677,DOWT,,,-24.0
POINT (2.77503065993782 51.6458075673069),51.645808,2.775031,DOWT,,,-26.0
POINT (2.78679859015979 51.6546110570913),51.654611,2.786799,DOWT,,,-25.0
POINT (2.80018348789317 51.6550602147333),51.65506,2.800183,DOWT,,,-25.0
POINT (2.79856652038175 51.6635942099325),51.663594,2.798567,DOWT,,,-25.0
POINT (2.78338499208013 51.6489516708013),51.648952,2.783385,DOWT,,,-24.0
POINT (2.80853782003548 51.6582043182278),51.658204,2.808538,DOWT,,,-28.0
POINT (2.7884155576712 51.6463465564774),51.646347,2.788416,DOWT,,,-24.0
POINT (2.79353595479068 51.6659298296712),51.66593,2.793536,DOWT,,,-25.0
POINT (2.7951529223021 51.6576653290573),51.657665,2.795153,DOWT,,,-24.0
POINT (2.81195141811513 51.6638637045177),51.663864,2.811951,DOWT,,,-28.0
POINT (2.78859522072802 51.6686247755235),51.668625,2.788595,DOWT,,,-27.0
POINT (2.80692085252406 51.6664688188417),51.666469,2.806921,DOWT,,,-26.0
POINT (2.80198011846141 51.6690739331656),51.669074,2.80198,DOWT,,,-25.0
POINT (2.81536501619479 51.6696129223361),51.669613,2.815365,DOWT,,,-29.0
POINT (2.80368691750123 51.6831774831263),51.683177,2.803687,DOWT,,,-26.0
POINT (2.81374804868337 51.67787742295),51.677877,2.813748,DOWT,,,-28.0
POINT (2.81779046746191 51.694675918763),51.694676,2.81779,DOWT,,,-24.0
POINT (2.74098451066969 51.6840757984104),51.684076,2.740985,DOWT,,,-33.0
POINT (2.75401008228942 51.6956640655755),51.695664,2.75401,DOWT,,,-33.0
POINT (2.73568445049338 51.6929691197232),51.692969,2.735684,DOWT,,,-29.0
POINT (2.75939997399414 51.7027607563201),51.702761,2.7594,DOWT,,,-31.0
POINT (2.73397765145356 51.6760807923817),51.676081,2.733978,DOWT,,,-32.0
POINT (2.74439810874934 51.6906334999845),51.690633,2.744398,DOWT,,,-33.0
POINT (2.76703565390916 51.7069828381555),51.706983,2.767036,DOWT,,,-31.0
POINT (2.74906934822677 51.6776079283647),51.677608,2.749069,DOWT,,,-33.0
POINT (2.74664389695964 51.6996166528257),51.699617,2.746644,DOWT,,,-33.0
POINT (2.75302193547689 51.685513102865),51.685513,2.753022,DOWT,,,-33.0
POINT (2.72885725433408 51.6831774831263),51.683177,2.728857,DOWT,,,-30.0
POINT (2.76146609914761 51.6750028140408),51.675003,2.761466,DOWT,,,-32.0
POINT (2.76505936028409 51.6814706840865),51.681471,2.765059,DOWT,,,-33.0
POINT (2.76478986569886 51.6963827178028),51.696383,2.76479,DOWT,,,-31.0
POINT (2.73891838551621 51.6708705637338),51.670871,2.738918,DOWT,,,-32.0
POINT (2.78176802456872 51.7093184578942),51.709318,2.781768,DOWT,,,-30.0
POINT (2.77772560579018 51.7031200824337),51.70312,2.777726,DOWT,,,-32.0
POINT (2.77296453478434 51.6943165926494),51.694317,2.772965,DOWT,,,-32.0
POINT (2.72355719415777 51.6884775433026),51.688478,2.723557,DOWT,,,-30.0
POINT (2.76982043128993 51.6891961955299),51.689196,2.76982,DOWT,,,-32.0
POINT (2.75122530490865 51.658473812813),51.658474,2.751225,DOWT,,,-31.0
POINT (2.74502692944823 51.6668281449553),51.666828,2.745027,DOWT,,,-32.0
POINT (2.75769317495431 51.6686247755235),51.668625,2.757693,DOWT,,,-31.0
POINT (2.75975930010779 51.6882080487173),51.688208,2.759759,DOWT,,,-32.0
POINT (2.83908053969554 51.6788655697625),51.678866,2.839081,DOWT,,,-33.0
POINT (2.84357211611614 51.6756316347397),51.675632,2.843572,DOWT,,,-33.0
POINT (2.85147729061639 51.6811113579728),51.681111,2.851477,DOWT,,,-31.0
POINT (2.84662638808215 51.683985966882),51.683986,2.846626,DOWT,,,-31.0
POINT (2.83063637602482 51.676799444609),51.676799,2.830636,DOWT,,,-32.0
POINT (2.85551970939493 51.6785062436489),51.678506,2.85552,DOWT,,,-30.0
